applied date,job post date,Job Source,job title,customized resume?,response date,selected for interview?,Notes
6/26/2024,6/26/2024,LinkedIn,Analytics Engineer,Yes,7/25/2024,No,
6/26/2024,6/26/2024,LinkedIn,Data Analyst,No,,,
6/26/2024,6/25/2024,LinkedIn,Data Analyst (Entry Level),No,,,
6/26/2024,6/25/2024,Wellfound,Data Analyst,No,6/27/2024,No,
6/26/2024,,Otta,Solutions Engineer,Yes,,,
6/26/2024,,Otta,Principle Solutions Engineer,Yes,,,
6/26/2024,6/26/2024,LinkedIn,Data Specialist,No,,,
6/26/2024,6/24/2024,LinkedIn,Associate Data Analyst,No,7/8/2024,No,
6/26/2024,6/26/2024,LinkedIn,Senior Data Analyst,No,,,
6/26/2024,6/26/2024,LinkedIn,Tableau Developer,No,,,
6/26/2024,6/26/2024,LinkedIn,Technical Data Analyst,No,,,
6/26/2024,6/26/2024,LinkedIn,Data Analyst,No,,,
6/26/2024,6/26/2024,LinkedIn,Data Consultant,No,,,
6/26/2024,6/26/2024,LinkedIn,Data Scientist,No,,,
6/26/2024,6/26/2024,Otta,Senior Data Analyst,Yes,6/27/2024,No,
6/26/2024,,Company Website,Data Science and Informatics Specialist - Nevada,Yes,,,
6/26/2024,,Company Website,Data Scientist – Great Plains,Yes,,,
6/26/2024,6/21/2024,Climate Base,"Senior Analyst, Business Intelligence",No,9/3/2024,No,
6/26/2024,6/13/2024,Climate Base,Senior Analytics Engineer,No,,,
6/26/2024,6/20/2024,Climate Base,Scientific Programmer,Yes,7/2/2024,No,7/2/2024 -> made it through initial resume screen 7/31 -> not selected for interview
6/26/2024,6/25/2024,LinkedIn,Analytics Engineer,Yes,7/20/2024,No,
6/27/2024,6/27/2024,LinkedIn,Data Engineer,No,,,
6/27/2024,,Built In,Data Analyst,Yes,7/16/2024,No,
6/27/2024,6/26/2024,LinkedIn,Tableau Developer,No,,,
6/27/2024,6/21/2024,LinkedIn,"Senior Associate, Data & Analytics – Remote (Job ID# 53785)",Yes,,,
6/27/2024,6/26/2024,LinkedIn,Data Analyst,Yes,,,
6/27/2024,6/22/2024,Built In,Data Engineer (REQ-2024-0172),Yes,,,
6/27/2024,,Otta,Data Engineer - Advertising,Yes,,,
6/28/2024,6/26/2024,LinkedIn,Data Engineer,No,,,
6/28/2024,6/27/2024,LinkedIn,Data Engineer (Contract),No,,,
6/28/2024,6/27/2024,LinkedIn,BI Developer (Contract),No,,,
6/28/2024,6/27/2024,LinkedIn,Data Engineer,No,7/25/2024,No,
6/30/2024,6/27/2024,Government Jobs,IT Business Analyst Journey (Olympia) Non-Permanent ,No,,,
7/2/2024,7/1/2024,Climate Base,General Interest Application,No,,,
